ASSET CLASS,CATEGORY,SUB-CATEGORY,AMC,ETF,BENCHMARK INDEX,website_link,SYMBOL,yfinance_ticker ,BSE TICKER,ISIN CODE,LAUNCH DATE,AUM(Crores),EXPENSE RATIO,OVERALL TRACKING ERROR,OVERALL TRACKING DIFFERENCE,YEARS ACTIVE
EQUITY,SECTORAL,BANK,Aditya Birla Sun Life MF,Aditya Birla Sun Life Banking ETF,Nifty Bank TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-nifty-bank-etf,ABSLBANETF,ABSLBANETF.NS,542863,INF209KB17D5,43768,2788.9,0.14,0.02,-0.27,6 years 4 months
EQUITY,SECTORAL,BANK,Axis Mutual Fund,Axis Nifty Bank ETF,Nifty Bank TRI,https://www.axismf.com/mutual-funds/etfs/axis-nifty-bank-etf/be-gp,AXISBNKETF,AXISBNKETF.NS,,INF846K01X63,44144,387.91,0.2,0.04,0.44,5 years 3 months
EQUITY,SECTORAL,BANK,Bajaj Finserv Mutual Fund,Bajaj Finserv Nifty Bank ETF,Nifty Bank TRI,https://www.bajajfinserv.in/investments/bajaj-finserv-nifty-bank-etf,BANKBETF,BANKBETF.NS,544093,INF0QA701714,45320,360.84,0.13,0.05,-0.16,2 years 1 month
EQUITY,SECTORAL,BANK,Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Nifty Bank ETF,Nifty Bank TRI,https://www.barodabnpparibasmf.in/efactsheet/Sep2025/Innerpages/NIFTY-BANK-ETF.html,BBNPNBETF,BBNPNBETF.NS,544196,INF251K01TL6,45467,3.5,0.09,0.09,-0.27,1 year 8 months
EQUITY,SECTORAL,BANK,DSP Mutual Fund,DSP Nifty Bank ETF,Nifty Bank TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-bank-etf/dsnbe-direct-growth,BANKETFADD,BANKETFADD.NS,543738,INF740KA1RX3,44932,727.27,0.15,0.02,-0.15,3 years 1 month
EQUITY,SECTORAL,BANK,Edelweiss Mutual Fund,Edelweiss Nifty Bank ETF,Nifty Bank TRI,https://www.edelweissmf.com/types-of-mutual-funds/index-fund/edelweiss-nifty-bank-etf,EBANKNIFTY,EBANKNIFTY.NS,,INF754K01TE4,42356,4.89,0.04,0.04,-0.17,10 years 2 months
EQUITY,SECTORAL,BANK,HDFC Mutual Fund,HDFC Nifty Bank ETF,Nifty Bank TRI,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty-bank-exchange-traded-fund/regular,HDFCNIFBAN,HDFCNIFBAN.NS,543224,INF179KC1HY0,44071,2781.69,0.16,0.02,-0.27,5 years 6 months
EQUITY,SECTORAL,BANK,ICICI Prudential Mutual Fund,ICICI Prudential Nifty Bank ETF,Nifty Bank TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-nifty-bank-etf,BANKIETF,BANKIETF.NS,542730,INF109KC15I8,43661,3184.63,0.15,0.02,-0.29,6 years 7 months
EQUITY,SECTORAL,BANK,Kotak Mahindra Mutual Fund,Kotak Nifty Bank ETF,Nifty Bank TRI,https://www.kotakmf.com/mutual-funds/passive-funds/kotak-nifty-bank-etf,BANKNIFTY1,BANKNIFTY1.NS,590136,INF174K01F59,41984,5196.37,0.15,0.03,-0.37,11 years 2 months
EQUITY,SECTORAL,BANK,Mirae Asset Mutual Fund,Mirae Asset Nifty Bank ETF,Nifty Bank TRI,https://www.miraeassetmf.co.in/mutual-fund-scheme/etf/mirae-asset-nifty-bank-etf,BANKETF,BANKETF.NS,543944,INF769K01KR3,45133,267.34,0.1,0.02,-0.2,2 years 7 months
EQUITY,SECTORAL,BANK,Nippon India Mutual Fund,Nippon India ETF Nifty Bank BeES,Nifty Bank TRI,https://mf.nipponindiaim.com/FundsAndPerformance/Pages/NipponIndia-ETF-Nifty-Bank-BeES.aspx,BANKBEES,BANKBEES.NS,590106,INF204KB15I9,38142,7731.4,0.19,0.03,-0.49,21 years 9 months
EQUITY,SECTORAL,BANK,SBI Mutual Fund,SBI Banking ETF,Nifty Bank TRI,https://www.sbimf.com/sbimf-scheme-details/sbi-nifty-bank-etf-formerly-known-as-(sbi-etf-nifty-bank)-417,SETFNIFBK,SETFNIFBK.NS,590137,INF200KA1580,42088,3997.39,0.19,0.02,-0.34,10 years 11 months
EQUITY,SECTORAL,BANK,UTI Mutual Fund,UTI Nifty Bank ETF,Nifty Bank TRI,https://www.utimf.com/mutual-funds/uti-nifty-bank-etf-0,UTIBANKETF,UTIBANKETF.NS,543226,INF789F1AUV1,44077,3817.83,0.17,0,0.1,5 years 5 months
DEBT,BHARAT BOND,,Edelweiss Mutual Fund,BHARAT Bond ETF April 2030,Nifty BHARAT Bond Index - April 2030,https://www.edelweissmf.com/types-of-mutual-funds/bharat-bond-funds/edelweiss-etf-bharat-bond-2030,EBBETF0430,EBBETF0430.NS,,INF754K01KO2,43832,25429.42,0.01,0.86,-0.12,6 years 1 month
DEBT,BHARAT BOND,,Edelweiss Mutual Fund,BHARAT Bond ETF April 2031,Nifty BHARAT Bond Index - April 2031,https://www.edelweissmf.com/types-of-mutual-funds/bharat-bond-funds/edelweiss-etf-bharat-bond-2031,EBBETF0431,EBBETF0431.NS,,INF754K01LE1,44041,13477.78,0.01,1.22,-0.1,5 years 7 months
DEBT,BHARAT BOND,,Edelweiss Mutual Fund,BHARAT Bond ETF April 2032,Nifty BHARAT Bond Index - April 2032,https://www.edelweissmf.com/types-of-mutual-funds/bharat-bond-funds/edelweiss-etf-bharat-bond-2032,EBBETF0432,Not Found,,INF754K01OB1,43832,10792.72,0.01,1.31,0.31,6 years 1 month
DEBT,BHARAT BOND,,Edelweiss Mutual Fund,BHARAT Bond ETF April 2033,Nifty BHARAT Bond Index - April 2033,https://www.edelweissmf.com/types-of-mutual-funds/bharat-bond-funds/edelweiss-etf-bharat-bond-2033,EBBETF0433,EBBETF0433.NS,,INF754K01QX0,44914,6365.44,0.01,1.43,0.42,3 years 2 months
EQUITY,THEMATIC,Capital Market,Groww Mutual Fund,Groww Nifty Capital Markets ETF,Nifty Capital Market TRI,https://groww.in/etfs/groww-nifty-capital-markets-etf,GROWWCAPM,GROWWCAPM.NS,,INF666M01MM4,45995,,0,0,,2 months
EQUITY,THEMATIC,Capital Market,Motilal Oswal Mutual Fund,Motilal Oswal Nifty Capital Market ETF,Nifty Capital Market TRI,https://www.motilaloswalmf.com/mutual-funds/motilal-oswal-nifty-capital-market-etf,MOCAPITAL,MOCAPITAL.NS,,INF247L01EV3,45790,99.13,0.53,0.07,-0.65,9 months
EQUITY,SECTORAL,CHEMICALS,Kotak Mahindra Mutual Fund,Kotak Nifty Chemicals ETF,Nifty Chemicals Index,https://www.kotakmf.com/mutual-funds/passive-funds/kotak-nifty-chemicals-etf,CHEMICAL,CHEMICAL.NS,,INF174KA1XV0,45980,11.83,0.25,0.3,-1.94,3 months
EQUITY,THEMATIC,Commodities,ICICI Prudential Mutual Fund,ICICI Prudential Nifty Commodities ETF,Nifty Commodities TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-nifty-commodities-etf,COMMOIETF,COMMOIETF.NS,543710,INF109KC19O8,44916,110.46,0.3,0.03,-0.46,3 years 2 months
EQUITY,THEMATIC,CPSE,Nippon India Mutual Fund,CPSE ETF,Nifty CPSE TRI,https://etf.nipponindiaim.com/Funds/details/10,CPSEETF,CPSEETF.NS,538057,INF457M01133,41733,29139.67,0.07,0.08,1.02,11 years 10 months
EQUITY,STRATEGIC,Nifty Dividend Opportunities 50,Nippon India Mutual Fund,Nippon India ETF Nifty Dividend Opportunities 50,Nifty Dividend Opportunities 50 TRI,https://etf.nipponindiaim.com/Funds/details/4,DIVOPPBEES,DIVOPPBEES.NS,,INF204KA1MS3,41744,77.76,0.37,0.05,-0.26,11 years 10 months
EQUITY,THEMATIC,Energy,Mirae Asset Mutual Fund,Mirae Asset Nifty Energy ETF,Nifty Energy TRI,https://www.miraeassetmf.co.in/mutual-fund-scheme/etf/mirae-asset-nifty-energy-etf,ENERGY,ENERGY.NS,,INF769K01PR2,45974,,0.11,0,,3 months
EQUITY,THEMATIC,Energy,Motilal Oswal Mutual Fund,Motilal Oswal Nifty Energy ETF,Nifty Energy TRI,https://www.motilaloswalmf.com/etf/motilal-oswal-nifty-energy-etf#Performance,MOENERGY,MOENERGY.NS,,INF247L01GH7,45943,,0.5,0.03,-0.15,4 months
EQUITY,THEMATIC,EV and New Age Automotive,Groww Mutual Fund,Groww Nifty EV & New Age Automotive ETF,Nifty EV and New Age Automotive TRI,https://groww.in/etfs/groww-nifty-ev-new-age-automotive-etf,GROWWEV,GROWWEV.NS,,INF666M01IH2,45516,276,0.44,0,-0.48,1 year 6 months
EQUITY,THEMATIC,EV and New Age Automotive,ICICI Prudential Mutual Fund,ICICI Prudential Nifty EV & New Age Automotive ETF,Nifty EV and New Age Automotive TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-nifty-ev-&-new-age-automotive,EVIETF,EVIETF.NS,544394,INF109K1A153,45762,30.72,0.44,0.12,-0.39,10 months
EQUITY,THEMATIC,EV and New Age Automotive,Mirae Asset Mutual Fund,Mirae Asset Nifty EV and New Age Automotive ETF,Nifty EV and New Age Automotive TRI,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.miraeassetmf.co.in/docs/default-source/transaction-forms/mirae-asset-ev-and-new-age-automotive-etf.pdf?sfvrsn=3c745412_2,EVINDIA,EVINDIA.NS,544212,INF769K01LQ3,45489,171,0.39,0.44,-0.44,1 year 7 months
EQUITY,SECTORAL,FINANCIAL SERVICES EX-BANK,ICICI Prudential Mutual Fund,ICICI Prudential Nifty Financial Services Ex-BaNk ETF,Nifty Financial Services Ex-Bank TRI,https://digitalfactsheet.icicipruamc.com/passive/icici-prudential-nifty-financial-services-ex-bank-etf.php,FINIETF,FINIETF.NS,543677,INF109KC17L8,44895,218.3,0.2,0.04,-0.37,3 years 3 months
EQUITY,SECTORAL,FINANCIAL SERVICES,Aditya Birla Sun Life MF,Aditya Birla Sun Life Nifty Financial Services ETF,Nifty Financial Services TRI,https://mutualfund.adityabirlacapital.com/campaign/aditya-birla-sun-life-nifty-financial-services-etf,ABSLFINSRV,Not Found,,INF209KB15I8,44776,,0,0,,3 years 6 months
EQUITY,SECTORAL,FINANCIAL SERVICES,Mirae Asset Mutual Fund,Mirae Asset Nifty Financial Services ETF,Nifty Financial Services TRI,https://miraeassetetf.co.in/our-etfs/fund?nseSymbol=BFSI,BFSI,BFSI.NS,543323,INF769K01HI8,44407,438.29,0.12,0.06,-0.15,4 years 7 months
EQUITY,SECTORAL,FMCG,ICICI Prudential Mutual Fund,ICICI Prudential Nifty FMCG ETF,Nifty FMCG TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-nifty-fmcg-etf,FMCGIETF,FMCGIETF.NS,543326,INF109KC19V3,44418,662.56,0.2,0.08,-0.28,4 years 6 months
EQUITY,STRATEGIC,Nifty Growth Sectors 15,HDFC Mutual Fund,HDFC Nifty Growth Sectors 15 ETF,Nifty Growth Sectors 15 TRI,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty-growth-sectors-15-etf/regular,HDFCGROWTH,HDFCGROWTH.NS,543607,INF179KC1DJ0,44833,17.11,0.3,0.18,-0.54,3 years 5 months
EQUITY,SECTORAL,HEALTHCARE,Aditya Birla Sun Life MF,Aditya Birla Sun Life Nifty Healthcare ETF,Nifty Healthcare TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-nifty-healthcare-etf,HEALTHY,HEALTHY.NS,543473,INF209KB10C2,44497,46.77,0.19,0.04,-0.02,4 years 4 months
EQUITY,SECTORAL,HEALTHCARE,Axis Mutual Fund,Axis Nifty Healthcare ETF,Nifty Healthcare TRI,https://www.axismf.com/mutual-funds/etfs/axis-nifty-healthcare-etf/he-gp,AXISHCETF,AXISHCETF.NS,543348,INF846K01Z12,44337,20.22,0.34,0.03,-0.67,4 years 9 months
EQUITY,SECTORAL,HEALTHCARE,DSP Mutual Fund,DSP Nifty Healthcare ETF,Nifty Healthcare TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-healthcare-etf/dnhce-direct-growth,HEALTHADD,HEALTHADD.NS,544109,INF740KA1UF4,45329,11.12,0.2,0.03,-0.27,2 years 0 months
EQUITY,SECTORAL,HEALTHCARE,ICICI Prudential Mutual Fund,ICICI Prudential Nifty Healthcare ETF,Nifty Healthcare TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-nifty-healthcare-etf,HEALTHIETF,HEALTHIETF.NS,543292,INF109KC1Q72,44334,129.47,0.15,0.05,-0.23,4 years 9 months
EQUITY,THEMATIC,India Cosumption,Axis Mutual Fund,Axis Nifty India Consumption ETF,Nifty India Consumption TRI,https://www.axismf.com/mutual-funds/etfs/axis-nifty-india-consumption-etf/ce-gp,AXISCETF,AXISCETF.NS,543357,INF846K016C7,44462,14.71,0.38,0.03,-0.35,4 years 5 months
EQUITY,THEMATIC,India Cosumption,ICICI Prudential Mutual Fund,ICICI Prudential Nifty India Consumption ETF,Nifty India Consumption TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-consumption-etf,CONSUMIETF,CONSUMIETF.NS,543383,INF109KC1V42,44502,69.06,0.2,0.03,-0.32,4 years 3 months
EQUITY,THEMATIC,India Cosumption,Kotak Mahindra Mutual Fund,Kotak Nifty India Consumption ETF,Nifty India Consumption TRI,https://www.kotakmf.com/mutual-funds/passive-funds/kotak-nifty-india-consumption-etf,CONS,CONS.NS,,INF174KA1JE5,44777,23.06,0.1,0.05,-0.33,3 years 6 months
EQUITY,THEMATIC,India Cosumption,Nippon India Mutual Fund,Nippon India ETF Nifty India Consumption,Nifty India Consumption TRI,https://mf.nipponindiaim.com/FundsAndPerformance/Pages/NipponIndia-ETF-Nifty-India-Consumption.aspx,CONSUMBEES,CONSUMBEES.NS,,INF204KA1LD7,41740,200.58,0.31,0.03,-0.28,11 years 10 months
EQUITY,THEMATIC,India Cosumption,SBI Mutual Fund,SBI ETF Consumption,Nifty India Consumption TRI,https://www.sbimf.com/sbimf-scheme-details/sbi-nifty-consumption-etf-592,SBIETFCON,SBIETFCON.NS,,INF200KA1X17,44379,25.13,0.25,0.02,-0.42,4 years 7 months
EQUITY,THEMATIC,Defence,Groww Mutual Fund,Groww Nifty India Defence ETF,Nifty India Defence TRI,https://www.motilaloswalmf.com/mutual-funds/motilal-oswal-nifty-india-defence-etf,GROWWDEFNC,GROWWDEFNC.NS,,INF666M01IO8,45576,236.03,0.43,0,-0.51,1 year 4 months
EQUITY,THEMATIC,Defence,Motilal Oswal Mutual Fund,Motilal Oswal Nifty India Defence ETF,Nifty India Defence TRI,https://www.motilaloswalmf.com/mutual-funds/motilal-oswal-nifty-india-defence-etf,MODEFENCE,MODEFENCE.NS,140518913,INF247L01DJ0,45531,872.07,0.41,0.1,-0.69,1 year 6 months
EQUITY,THEMATIC,Digital,Tata Mutual Fund,Tata Nifty India Digital Exchange Traded Fund,Nifty India Digital TRI,https://www.tatamutualfund.com/mutual-funds/tata-nifty-india-digital-exchange-traded-fund-direct-growth,TNIDETF,TNIDETF.NS,,INF277KA1364,44659,177.31,0.39,0.12,-0.26,3 years 10 months
EQUITY,THEMATIC,Internet,Groww Mutual Fund,Groww Nifty India Internet ETF,Nifty India Internet TRI,https://groww.in/etfs/groww-nifty-india-internet-etf-ltd,GROWWNET,GROWWNET.NS,,INF666M01LI4,45841,23.43,0.38,0,,7 months
EQUITY,THEMATIC,Internet,Mirae Asset Mutual Fund,Mirae Asset Nifty India Internet ETF,Nifty India Internet TRI,https://miraeassetetf.co.in/our-etfs/fund?nseSymbol=INTERNET,INTERNET,INTERNET.NS,544438,INF769K01PB6,45826,16.52,0.19,0.07,-0.12,8 months
EQUITY,THEMATIC,Manufacturing,Mirae Asset Mutual Fund,Mirae Asset Nifty India Manufacturing ETF,Nifty India Manufacturing TRI,https://miraeassetetf.co.in/our-etfs/fund?nseSymbol=MAKEINDIA,MAKEINDIA,MAKEINDIA.NS,543454,INF769K01IB1,44588,218.17,0.53,0.05,-0.59,4 years 1 month
EQUITY,THEMATIC,Manufacturing,Motilal Oswal Mutual Fund,Motilal Oswal Nifty India Manufacturing ETF,Nifty India Manufacturing TRI,https://www.motilaloswalmf.com/etf/motilal-oswal-nifty-india-manufacturing-etf,MOMGF,MOMGF.NS,,INF247L01FK3,45805,1.9,0.52,0.23,-0.46,9 months
EQUITY,THEMATIC,Manufacturing,Nippon India Mutual Fund,Nippon India Nifty India Manufacturing ETF,Nifty India Manufacturing TRI,https://etf.nipponindiaim.com/Funds/details/3032,MANUFGBEES,MANUFGBEES.NS,,INF204KC1GH6,45898,6.14,0.25,0.04,,6 months
EQUITY,THEMATIC,New Age Consumtion,Mirae Asset Mutual Fund,Mirae Asset Nifty India New Age Consumption ETF,Nifty India New Age Consumption TRI,https://miraeassetetf.co.in/our-etfs/fund?nseSymbol=CONSUMER,CONSUMER,CONSUMER.NS,544323,INF769K01NS5,45652,38.04,0.3,0.1,-0.32,1 year 2 months
EQUITY,THEMATIC,Railways PSU,Groww Mutual Fund,Groww Nifty India Railways PSU ETF,Nifty India Railways PSU Index TRI.,https://groww.in/etfs/groww-nifty-india-railways-psu-etf,GROWWRAIL,GROWWRAIL.NS,94517,INF666M01JJ6,45693,91.35,0.49,0,,1 year 0 months
EQUITY,THEMATIC,Tourism,Motilal Oswal Mutual Fund,Motilal Oswal Nifty India Tourism ETF,Nifty India Tourism TRI,https://www.motilaloswalmf.com/etf/motilal-oswal-nifty-india-tourism-etf,MOTOUR,MOTOUR.NS,,INF247L01FP2,45817,4.21,0.52,0.52,-0.22,8 months
EQUITY,THEMATIC,Infrastructure,ICICI Prudential Mutual Fund,ICICI Prudential Nifty Infrastructure ETF,Nifty Infrastructure TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-nifty-infrastructure-etf,INFRAIETF,INFRAIETF.NS,543571,INF109KC16E5,44790,349.59,0.5,0.04,-0.03,3 years 6 months
EQUITY,THEMATIC,Infrastructure,Nippon India Mutual Fund,Nippon India ETF Nifty Infrastructure BeES,Nifty Infrastructure TRI,https://mf.nipponindiaim.com/FundsAndPerformance/Pages/NipponIndia-ETF-Nifty-Infrastructure-BeES.aspx,INFRABEES,INFRABEES.NS,543255,INF732E01268,40456,166.29,1.03,0.06,-1.2,15 years 4 months
EQUITY,SECTORAL,IT,Aditya Birla Sun Life MF,Aditya Birla Sun Life Nifty IT ETF,Nifty IT TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-nifty-it-etf,TECH,TECH.NS,543472,INF209KB11D8,44503,226.83,0.19,0.06,-0.34,4 years 3 months
EQUITY,SECTORAL,IT,Axis Mutual Fund,Axis Nifty IT ETF,Nifty IT TRI,https://www.axismf.com/mutual-funds/etfs/axis-nifty-it-etf/te-gp,AXISTECETF,AXISTECETF.NS,543347,INF846K01Y96,44286,187.05,0.23,0.06,-0.79,4 years 11 months
EQUITY,SECTORAL,IT,DSP Mutual Fund,DSP Nifty IT ETF,Nifty IT TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-it-etf/dsnit-direct-growth,ITETFADD,ITETFADD.NS,543935,INF740KA1SX1,45120,43.87,0.2,0.05,-0.31,2 years 7 months
EQUITY,SECTORAL,IT,HDFC Mutual Fund,HDFC Nifty IT ETF,Nifty IT TRI,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty-it-etf/regular,HDFCNIFIT,HDFCNIFIT.NS,543665,INF179KC1IA8,44887,45.11,0.2,0.05,-0.31,3 years 3 months
EQUITY,SECTORAL,IT,ICICI Prudential Mutual Fund,ICICI Prudential Nifty IT ETF,Nifty IT TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-nifty-it-etf,ITIETF,ITIETF.NS,543221,INF109KC16I6,44063,553.89,0.2,0.05,-0.32,5 years 6 months
EQUITY,SECTORAL,IT,Kotak Mahindra Mutual Fund,Kotak Nifty IT ETF,Nifty IT TRI,https://www.kotakmf.com/mutual-funds/passive-funds/kotak-nifty-it-etf,IT,IT.NS,,INF174KA1GC5,44260,461,0.09,0.05,-0.27,4 years 11 months
EQUITY,SECTORAL,IT,Mirae Asset Mutual Fund,Mirae Asset Nifty IT ETF,Nifty IT TRI,https://miraeassetetf.co.in/our-etfs/fund?nseSymbol=ITETF,ITETF,ITETF.NS,544006,INF769K01KV5,43430,149.8,0.1,0.05,-0.17,7 years 3 months
EQUITY,SECTORAL,IT,Nippon India Mutual Fund,Nippon India ETF Nifty IT,Nifty IT TRI,https://mf.nipponindiaim.com/FundsAndPerformance/Pages/NipponIndia-ETF-Nifty-IT.aspx,ITBEES,ITBEES.NS,590141,INF204KB15V2,44013,2896.96,0.22,0.05,-0.38,5 years 8 months
EQUITY,SECTORAL,IT,SBI Mutual Fund,SBI ETF IT,Nifty IT TRI,https://www.sbimf.com/sbimf-scheme-details/sbi-nifty-it-etf-577,SBIETFIT,SBIETFIT.NS,,INF200KA1S14,44126,74.34,0.2,0.04,-0.28,5 years 4 months
EQUITY,SECTORAL,IT,UTI Mutual Fund,UTI Nifty IT ETF,Nifty IT TRI,https://www.utimf.com/mutual-funds/uti-nifty-it-etf,NIFITETF,NIFITETF.NS,544102,INF789F1AZD8,45323,6.7,0.19,0,-0.23,2 years 0 months
EQUITY,BROADER,Nifty LargeMidCap 250,Edelweiss Mutual Fund,Edelweiss Nifty LargeMidcap 250 ETF,Nifty LargeMidcap 250 TRI,https://www.edelweissmf.com/factsheet/factsheets/Exchange-Traded-Funds/Nifty-LargeMidcap-250-ETF.html,ELM250,ELM250.NS,,INF754K01VV4,45909,80.2,1.09,0.06,0.04,5 months
EQUITY,THEMATIC,Metal,ICICI Prudential Mutual Fund,ICICI Prudential Nifty Metal ETF,Nifty Metal TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-nifty-metal-etf,METALIETF,METALIETF.NS,,INF109KC19W1,45524,306.45,0.4,0.04,-0.68,1 year 6 months
EQUITY,THEMATIC,Metal,Mirae Asset Mutual Fund,Mirae Asset Nifty Metal ETF,Nifty Metal TRI,https://miraeassetetf.co.in/our-etfs/fund?nseSymbol=METAL,METAL,METAL.NS,544268,INF769K01LY7,45574,101.38,0.29,0.18,-0.27,1 year 4 months
EQUITY,BROADER,Nifty MidCap 100,LIC Mutual Fund,LIC MF Nifty Midcap 100 ETF,Nifty Midcap 100 TRI,https://www.licmf.com/our-funds/licmf-Nifty-midcap-100-ETF,LICNMID100,LICNMID100.NS,,INF767K01RN1,45341,760,0.16,0.1,-0.44,1 year 12 months
EQUITY,BROADER,Nifty MidCap 100,Motilal Oswal Mutual Fund,Motilal Oswal Nifty Midcap 100 ETF,Nifty Midcap 100 TRI,https://www.motilaloswalmf.com/etf/motilal-oswal-nifty-midcap-100-etf,MOM100,MOM100.NS,536960,INF247L01023,40578,732.18,0.22,0.07,-0.19,15 years 0 months
EQUITY,STRATEGIC,Nifty Midcap 150 Factor Indices,Motilal Oswal Mutual Fund,Motilal Oswal Nifty Midcap150 Momentum 50 ETF,Nifty Midcap 150 Momentum 50 TRI,https://www.motilaloswalmf.com/etf/motilal-oswal-nifty-midcap-150-momentum-50-etf#Overview,MOMIDMTM,MOMIDMTM.NS,,INF247L01FQ0,45841,0.26,0.53,0.1,-1.02,7 months
EQUITY,STRATEGIC,Nifty Midcap 150 Factor Indices,DSP Mutual Fund,DSP Nifty Midcap 150 Quality 50 ETF,Nifty Midcap 150 Quality 50 TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-midcap-150-quality-50/dnmcf-direct-growth#schemeFundDetails,MIDQ50ADD,MIDQ50ADD.NS,,INF740KA1QL0,44560,104.35,0.3,0.09,-0.25,4 years 2 months
EQUITY,BROADER,Nifty Midcap 150,Groww Mutual Fund,Groww Nifty Midcap 150 ETF,Nifty Midcap 150 TRI,https://groww.in/etfs/groww-nifty-midcap-etf,GROWWMC150,GROWWMC150.NS,,INF666M01MV5,45978,6,0.21,0,,3 months
EQUITY,BROADER,Nifty Midcap 150,HDFC Mutual Fund,HDFC Nifty Midcap 150 ETF,Nifty Midcap 150 TRI,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty-midcap-150-etf/regular,HDFCMID150,HDFCMID150.NS,543776,INF179KC1HT0,44978,99.96,0.2,0.04,-0.33,2 years 12 months
EQUITY,BROADER,Nifty Midcap 150,ICICI Prudential Mutual Fund,ICICI Prudential Nifty Midcap 150 ETF,Nifty Midcap 150 TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-nifty-midcap-150-etf,MIDCAPIETF,MIDCAPIETF.NS,542921,INF109KC11W8,43858,553.9,0.15,0.04,-0.33,6 years 1 month
EQUITY,BROADER,Nifty Midcap 150,Kotak Mahindra Mutual Fund,Kotak Nifty Midcap 150 ETF,Nifty Midcap 150 TRI,https://www.kotakmf.com/mutual-funds/passive-funds/kotak-nifty-midcap-150-etf,MID150,MID150.NS,,INF174KA1VW2,45744,4.15,0.1,1.12,1.36,11 months
EQUITY,BROADER,Nifty Midcap 150,Mirae Asset Mutual Fund,Mirae Asset Nifty Midcap 150,Nifty Midcap 150 TRI,https://miraeassetetf.co.in/our-etfs/fund?nseSymbol=MIDCAPETF,MIDCAPETF,MIDCAPETF.NS,543481,INF769K01IC9,44629,1303.61,0.05,0.05,-0.23,3 years 11 months
EQUITY,BROADER,Nifty Midcap 150,Nippon India Mutual Fund,Nippon India Nifty Midcap 150 ETF,Nifty Midcap 150 TRI,https://etf.nipponindiaim.com/Funds/details/1017,MID150BEES,MID150BEES.NS,590144,INF204KB1V68,43496,2692.6,0.21,0.12,-0.35,7 years 1 month
EQUITY,BROADER,Nifty Midcap 150,UTI Mutual Fund,UTI Nifty Midcap 150 ETF,Nifty Midcap 150 TRI,https://www.utimf.com/mutual-funds/uti-nifty-midcap-150-exchange-traded-fund-etf,NIFMID150,NIFMID150.NS,543975,INF789F1AYX9,45174,11.03,0.25,0.07,-0.33,2 years 5 months
EQUITY,BROADER,Nifty Midcap 150,Zerodha Mutual Fund,Zerodha Nifty Midcap 150 ETF,Nifty Midcap 150 TRI,https://www.zerodhafundhouse.com/etfs/zerodha-nifty-midcap-150-etf-ZE150,MID150CASE,MID150CASE.NS,544193,INF0R8F01059,45462,169,0.21,0.04,0.32,1 year 8 months
EQUITY,BROADER,Nifty Midcap 50,Kotak Mahindra Mutual Fund,Kotak Nifty Midcap 50 ETF,Nifty Midcap 50 TRI,https://www.kotakmf.com/mutual-funds/passive-funds/kotak-nifty-midcap-50-etf,MIDCAP,MIDCAP.NS,,INF174KA1IB3,44596,87,0.05,0.14,-0.48,4 years 0 months
EQUITY,STRATEGIC,Nifty MidSmallcap400 Momentum Quality 100,Mirae Asset Mutual Fund,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF,Nifty MidSmallcap 400 Momentum Quality 100 TRI,https://www.miraeassetmf.co.in/mutual-fund-scheme/etf/mirae-asset-nifty-midsmallcap400-momentum-quality-100-etf,MIDSMALL,MIDSMALL.NS,544180,INF769K01LJ8,45440,50.72,0.46,0.12,-0.58,1 year 9 months
EQUITY,THEMATIC,MNC,Kotak Mahindra Mutual Fund,Kotak Nifty MNC ETF,Nifty MNC TRI,https://www.kotakmf.com/mutual-funds/passive-funds/kotak-nifty-mnc-etf,MNC,MNC.NS,,INF174KA1JF2,44789,35.94,0.3,0.04,-0.44,3 years 6 months
